ospcomp,uspcomp,nchar
Bw  40Cw  20Sb  10Bf  10Pb  10Mr  10, ,36
Pw  40Pr  20Pt  10He  10Sw  10Mr  10, ,36
PO  30Bw  20Bf  20Sb  10CE  10Pw  10, ,36
Bf  40Sb  20La  10Pt  10Bw  10Sw  10, ,36
Bf  40Bw  20Pw  10Pt  10Mr  10Sb  10, ,36
Pw  20Bw  20Sw  20Pr  20Pj  10Mr  10,NA,36
Sb  50Bf  10La  10Sw  10Cw  10Bw  10, ,36
Pj  40Sw  20Sb  10Bf  10Bw  10Pl  10,NA,36
Bw  30Sb  20By  20Mr  10Mh  10Sw  10, ,36
Bw  30Mh  20Mr  20Sb  10Sw  10Bf  10, ,36
Pw  30Mh  20Cw  20Aw  10Or  10Bd  10,Pw  40Cw  20Mh  10Pt  10Aw  10Mr  10,36
Bw  30Mh  20Sb  20Mr  10Cw  10Pw  10, ,36
Mh  40Ab  20By  10Or  10Cw  10Mr  10, ,36
Bw  30Pt  20Pr  20Pw  10Sb  10Bf  10, ,36
Bw  40Mr  20Pw  10Cw  10Pr  10Ab  10, ,36
Mh  30By  30Cw  10Bf  10Mr  10Bw  10, ,36
Cw  30Sw  20Mh  20Bf  10Bw  10Pl  10, ,36
Bw  40Mr  20Pw  10Sw  10Bf  10By  10, ,36
Mr  20Bw  20Or  20Sb  20Bf  10Pt  10, ,36
Pt  30Sw  20Bf  20Pj  10Bw  10Sb  10, ,36
Bw  40Sw  20Pw  10Sb  10Mr  10Cw  10, ,36
Sb  50Bf  10Cw  10Pt  10Bw  10Sw  10, ,36
Pw  40Bw  20Pr  10Or  10Sw  10He  10, ,36
Pr  40Pj  20Sb  10PO  10Bw  10Pw  10, ,36
Bw  30Bf  20Pw  20Pr  10Sw  10Pt  10, ,36
Pj  40Bw  20Pr  10Sb  10Pw  10Pt  10, ,36
Pj  30Bw  20Sb  20Bf  10Mh  10Sw  10, ,36
Pj  40Sb  20Pt  10Mr  10Bf  10Bw  10, ,36
Bw  20Pt  20Mr  20Sw  20Pr  10Bf  10, ,36
Pw  40Pr  20Mr  10Bw  10Pt  10Cw  10, ,36
Mr  40Pw  20Bw  10Pt  10By  10Mh  10,,36
Sb  30Bf  20Bw  20Pw  10Cw  10Sw  10, ,36
By  40Mr  20Bf  10Pw  10Bw  10Sw  10, ,36
Mr  30Mh  20PO  20Or  10Pw  10Bd  10,,36
Bf  30Sb  20La  20Ab  10Sw  10Cw  10, ,36
Pw  50He  10Mh  10Pt  10Aw  10Or  10, ,36
Or  40Mh  20Sw  10Bd  10Mr  10Aw  10, ,36
Pt  40By  20Mh  10Mr  10Sw  10Bf  10, ,36
Mh  50Mr  10By  10Sw  10Be  10Or  10, ,36
Pw  40Bw  20Bf  10Pr  10Sb  10Pt  10,NA,36
Mr  30Ms  20Cw  20Bw  10PO  10Sw  10,,36
Mh  40Mr  20He  10Be  10By  10Cb  10, ,36
Pt  20Ab  20Pb  20Bw  20Sb  10Bf  10, ,36
Bw  40Sb  20Pt  10Pw  10Or  10Bf  10, ,36
Bw  40Sb  20Pr  10Pw  10Bf  10Sw  10, ,36
